ACTIVITY DATE/TIME,CALORIES,STEPS,DISTANCE,FLOORS
2017-07-08 12:41:00,4.03369998931885,35,0.0258000008761883,0
2017-07-08 12:42:00,1.27380001544952,0,0,0
2017-07-08 12:43:00,1.37995004653931,0,0,0
2017-07-08 12:44:00,1.16764998435974,0,0,0
2017-07-08 12:45:00,1.16764998435974,0,0,0
2017-07-08 12:46:00,1.16764998435974,0,0,0
2017-07-08 12:47:00,2.54760003089905,8,0.0059000002220273,0
2017-07-08 12:48:00,1.06149995326996,0,0,0
2017-07-08 12:49:00,1.16764998435974,0,0,0
2017-07-08 12:50:00,1.06149995326996,0,0,0
2017-07-08 12:51:00,1.16764998435974,0,0,0
2017-07-08 12:52:00,1.16764998435974,0,0,0
2017-07-08 12:53:00,1.06149995326996,0,0,0
2017-07-08 12:54:00,1.27380001544952,0,0,0
2017-07-08 12:55:00,1.27380001544952,0,0,0
2017-07-08 12:56:00,1.27380001544952,0,0,0
2017-07-08 12:57:00,1.27380001544952,0,0,0
2017-07-08 12:58:00,1.27380001544952,0,0,0
2017-07-08 12:59:00,1.27380001544952,0,0,0
2017-07-08 13:00:00,1.37995004653931,0,0,0
2017-07-08 13:01:00,1.27380001544952,0,0,0
2017-07-08 13:02:00,1.27380001544952,0,0,0
2017-07-08 13:03:00,1.27380001544952,0,0,0
2017-07-08 13:04:00,1.27380001544952,0,0,0
2017-07-08 13:05:00,1.27380001544952,0,0,0
2017-07-08 13:06:00,1.27380001544952,0,0,0
2017-07-08 13:07:00,1.27380001544952,0,0,0
2017-07-08 13:08:00,1.27380001544952,0,0,0
2017-07-08 13:09:00,1.27380001544952,0,0,0
2017-07-08 13:10:00,1.27380001544952,0,0,0
2017-07-08 13:11:00,1.37995004653931,0,0,0
2017-07-08 13:12:00,1.37995004653931,0,0,0
2017-07-08 13:13:00,1.27380001544952,0,0,0
2017-07-08 13:14:00,1.37995004653931,0,0,0
2017-07-08 13:15:00,1.16764998435974,0,0,0
2017-07-08 13:16:00,3.39680004119873,34,0.025000000372529,0
2017-07-08 13:17:00,4.03369998931885,70,0.0516000017523766,0
2017-07-08 13:18:00,4.24599981307983,53,0.0390999987721443,0
2017-07-08 13:19:00,8.0673999786377,118,0.0869999974966049,1
2017-07-08 13:20:00,7.85510015487671,119,0.0878000035881996,2
2017-07-08 13:21:00,5.73210000991821,65,0.0478999987244606,1
2017-07-08 13:22:00,6.58129978179932,59,0.0434999987483025,2
2017-07-08 13:23:00,3.18449997901917,10,0.00730000017210841,0
2017-07-08 13:24:00,1.37995004653931,0,0,0
2017-07-08 13:25:00,3.18449997901917,11,0.00810000021010637,0
2017-07-08 13:26:00,1.37995004653931,0,0,0
2017-07-08 13:27:00,1.37995004653931,0,0,0
2017-07-08 13:28:00,3.18449997901917,8,0.0059000002220273,0
2017-07-08 13:29:00,3.6091001033783,26,0.0190999992191792,0
2017-07-08 13:30:00,4.24599981307983,56,0.0412999987602234,0
2017-07-08 13:31:00,5.30749988555908,80,0.0590000003576279,0
2017-07-08 13:32:00,5.73210000991821,88,0.0649000033736229,0
2017-07-08 13:33:00,5.51980018615723,73,0.0538000017404556,0
2017-07-08 13:34:00,5.0952000617981,75,0.0553000010550022,0
2017-07-08 13:35:00,5.51980018615723,90,0.0663999989628792,1
2017-07-08 13:36:00,6.15670013427734,58,0.0428000018000603,2
2017-07-08 13:37:00,3.6091001033783,34,0.025000000372529,1
2017-07-08 13:38:00,3.82139992713928,88,0.0649000033736229,0
2017-07-08 13:39:00,5.0952000617981,96,0.0707999989390373,0
2017-07-08 13:40:00,4.88290023803711,82,0.0604999996721745,0
2017-07-08 13:41:00,6.58129978179932,119,0.0878000035881996,0
2017-07-08 13:42:00,7.85510015487671,113,0.0833000019192696,0
2017-07-08 13:43:00,7.00589990615845,112,0.0825999975204468,1
2017-07-08 13:44:00,7.64279985427856,118,0.0869999974966049,2
2017-07-08 13:45:00,4.67059993743896,25,0.0184000004082918,0
2017-07-08 13:46:00,4.88290023803711,69,0.0509000010788441,0
2017-07-08 13:47:00,5.73210000991821,93,0.0685999989509583,0
2017-07-08 13:48:00,5.30749988555908,79,0.0582999996840954,0
2017-07-08 13:49:00,4.24599981307983,56,0.0412999987602234,0
2017-07-08 13:50:00,4.88290023803711,58,0.0428000018000603,0
2017-07-08 13:51:00,4.45830011367798,64,0.0472000017762184,0
2017-07-08 13:52:00,5.0952000617981,82,0.0604999996721745,0
2017-07-08 13:53:00,4.45830011367798,15,0.0109999999403954,0
2017-07-08 13:54:00,4.03369998931885,9,0.00659999996423721,0
2017-07-08 13:55:00,4.88290023803711,71,0.0522999987006187,0
2017-07-08 13:56:00,5.73210000991821,97,0.0715000033378601,0
2017-07-08 13:57:00,5.51980018615723,112,0.0825999975204468,0
2017-07-08 13:58:00,6.15670013427734,113,0.0833000019192696,0
2017-07-08 13:59:00,5.73210000991821,84,0.0619000010192394,0
2017-07-08 14:00:00,5.0952000617981,40,0.0295000001788139,0
2017-07-08 14:01:00,4.88290023803711,22,0.0162000004202127,0
2017-07-08 14:02:00,4.13985013961792,0,0,0
2017-07-08 14:03:00,5.30749988555908,51,0.0375999994575977,0
2017-07-08 14:04:00,5.30749988555908,35,0.0258000008761883,0
2017-07-08 14:05:00,4.67059993743896,20,0.0147000001743436,0
2017-07-08 14:06:00,3.82139992713928,16,0.0118000004440546,0
2017-07-08 14:07:00,3.82139992713928,17,0.0125000001862645,0
2017-07-08 14:08:00,3.6091001033783,11,0.00810000021010637,0
2017-07-08 14:09:00,3.39680004119873,30,0.0220999997109175,0
2017-07-08 14:10:00,4.67059993743896,70,0.0516000017523766,0
2017-07-08 14:11:00,4.88290023803711,67,0.0494000017642975,0
2017-07-08 14:12:00,4.88290023803711,26,0.0190999992191792,0
2017-07-08 14:13:00,5.0952000617981,40,0.0295000001788139,0
2017-07-08 14:14:00,5.30749988555908,31,0.02280000038445,0
2017-07-08 14:15:00,5.30749988555908,68,0.0500999987125397,0
2017-07-08 14:16:00,4.45830011367798,41,0.0302000008523464,0
2017-07-08 14:17:00,4.88290023803711,39,0.0286999996751547,0
2017-07-08 14:18:00,4.24599981307983,7,0.00510000018402934,0
2017-07-08 14:19:00,4.45830011367798,21,0.0153999999165535,0
2017-07-08 14:20:00,5.0952000617981,58,0.0428000018000603,0
2017-07-08 14:21:00,6.15670013427734,89,0.0656000003218651,0
2017-07-08 14:22:00,4.67059993743896,37,0.0273000001907349,0
2017-07-08 14:23:00,3.82139992713928,2,0.00139999995008111,0
2017-07-08 14:24:00,3.82139992713928,21,0.0153999999165535,0
2017-07-08 14:25:00,4.03369998931885,31,0.02280000038445,0
2017-07-08 14:26:00,4.03369998931885,66,0.048700001090765,0
2017-07-08 14:27:00,4.45830011367798,64,0.0472000017762184,0
2017-07-08 14:28:00,4.67059993743896,71,0.0522999987006187,0
2017-07-08 14:29:00,4.67059993743896,66,0.048700001090765,0
2017-07-08 14:30:00,4.88290023803711,95,0.0701000019907951,0
2017-07-08 14:31:00,5.0952000617981,44,0.0324000008404255,0
2017-07-08 14:32:00,4.13985013961792,0,0,0
