HEART RATE DATE/TIME,VALUE
2017-07-08 11:16:56,91
2017-07-08 11:17:06,95
2017-07-08 11:17:11,101
2017-07-08 11:17:16,103
2017-07-08 11:17:31,106
2017-07-08 11:17:36,109
2017-07-08 11:17:41,112
2017-07-08 11:17:46,113
2017-07-08 11:17:51,108
2017-07-08 11:18:01,112
2017-07-08 11:18:06,113
2017-07-08 11:18:11,114
2017-07-08 11:18:16,113
2017-07-08 11:18:21,111
2017-07-08 11:18:26,112
2017-07-08 11:18:31,116
2017-07-08 11:18:41,114
2017-07-08 11:18:48,116
2017-07-08 11:18:53,117
2017-07-08 11:18:58,115
2017-07-08 11:19:03,117
2017-07-08 11:19:08,115
2017-07-08 11:19:13,112
2017-07-08 11:19:18,107
2017-07-08 11:19:23,112
2017-07-08 11:19:28,117
2017-07-08 11:19:33,123
2017-07-08 11:19:38,127
2017-07-08 11:19:43,129
2017-07-08 11:19:48,131
2017-07-08 11:19:53,130
2017-07-08 11:19:58,129
2017-07-08 11:20:03,126
2017-07-08 11:20:08,123
2017-07-08 11:20:13,120
2017-07-08 11:20:23,117
2017-07-08 11:20:28,114
2017-07-08 11:20:33,112
2017-07-08 11:20:38,116
2017-07-08 11:20:43,119
2017-07-08 11:20:48,123
2017-07-08 11:20:53,126
2017-07-08 11:20:58,128
2017-07-08 11:21:03,130
2017-07-08 11:21:09,129
2017-07-08 11:21:14,126
2017-07-08 11:21:29,125
2017-07-08 11:21:34,126
2017-07-08 11:21:49,126
2017-07-08 11:21:59,127
2017-07-08 11:22:09,125
2017-07-08 11:22:14,122
2017-07-08 11:22:19,123
2017-07-08 11:22:24,124
2017-07-08 11:22:34,123
2017-07-08 11:22:44,122
2017-07-08 11:22:49,123
2017-07-08 11:23:04,124
2017-07-08 11:23:09,122
2017-07-08 11:23:14,125
2017-07-08 11:23:19,126
2017-07-08 11:23:24,123
2017-07-08 11:23:29,120
2017-07-08 11:23:34,122
2017-07-08 11:23:39,119
2017-07-08 11:23:49,119
2017-07-08 11:23:54,116
2017-07-08 11:23:59,111
2017-07-08 11:24:04,104
2017-07-08 11:24:09,101
2017-07-08 11:24:14,106
2017-07-08 11:24:21,107
2017-07-08 11:24:26,111
2017-07-08 11:24:31,112
2017-07-08 11:24:36,115
2017-07-08 11:24:41,110
2017-07-08 11:24:46,109
2017-07-08 11:25:01,109
2017-07-08 11:25:06,113
2017-07-08 11:25:11,111
2017-07-08 11:25:26,111
2017-07-08 11:25:41,112
2017-07-08 11:25:46,117
2017-07-08 11:25:51,119
2017-07-08 11:26:06,120
2017-07-08 11:26:21,120
2017-07-08 11:26:36,120
2017-07-08 11:26:41,118
2017-07-08 11:26:46,119
2017-07-08 11:26:51,122
2017-07-08 11:26:56,119
2017-07-08 11:27:06,120
2017-07-08 11:27:16,122
2017-07-08 11:27:21,126
2017-07-08 11:27:26,127
2017-07-08 11:27:31,126
2017-07-08 11:27:36,125
2017-07-08 11:27:41,123
2017-07-08 11:27:47,123
2017-07-08 11:28:02,123
2017-07-08 11:28:17,123
2017-07-08 11:28:32,126
2017-07-08 11:28:42,123
2017-07-08 11:28:47,122
2017-07-08 11:28:52,116
2017-07-08 11:28:57,120
2017-07-08 11:29:02,121
2017-07-08 11:29:07,122
2017-07-08 11:29:12,124
2017-07-08 11:29:27,124
2017-07-08 11:29:37,125
2017-07-08 11:29:52,125
2017-07-08 11:30:07,125
2017-07-08 11:30:12,126
2017-07-08 11:30:27,126
2017-07-08 11:30:37,125
2017-07-08 11:30:42,128
2017-07-08 11:30:52,129
2017-07-08 11:30:57,125
2017-07-08 11:31:12,124
2017-07-08 11:31:17,120
2017-07-08 11:31:22,117
2017-07-08 11:31:27,114
2017-07-08 11:31:32,116
2017-07-08 11:31:37,112
2017-07-08 11:31:44,116
2017-07-08 11:31:49,113
2017-07-08 11:31:54,108
2017-07-08 11:31:59,111
2017-07-08 11:32:04,112
2017-07-08 11:32:09,113
2017-07-08 11:32:14,114
2017-07-08 11:32:19,116
2017-07-08 11:32:29,118
2017-07-08 11:32:39,116
2017-07-08 11:32:49,114
2017-07-08 11:32:54,113
2017-07-08 11:33:09,114
2017-07-08 11:33:14,115
2017-07-08 11:33:19,117
2017-07-08 11:33:24,114
2017-07-08 11:33:29,112
2017-07-08 11:33:34,113
2017-07-08 11:33:39,111
2017-07-08 11:33:44,109
2017-07-08 11:33:59,106
2017-07-08 11:34:04,105
2017-07-08 11:34:09,109
2017-07-08 11:34:19,107
2017-07-08 11:34:24,106
2017-07-08 11:34:29,104
2017-07-08 11:34:36,81
2017-07-08 11:34:46,78
2017-07-08 11:34:51,76
2017-07-08 11:34:56,75
2017-07-08 11:35:01,75
2017-07-08 11:35:16,75
2017-07-08 11:35:31,75
2017-07-08 11:35:41,73
2017-07-08 11:35:46,76
2017-07-08 11:35:51,79
2017-07-08 11:35:56,81
2017-07-08 11:36:01,84
2017-07-08 11:36:06,87
2017-07-08 11:36:11,89
2017-07-08 11:36:16,96
2017-07-08 11:36:21,102
2017-07-08 11:36:26,104
2017-07-08 11:36:36,106
2017-07-08 11:36:41,107
2017-07-08 11:36:46,109
2017-07-08 11:36:51,108
2017-07-08 11:36:56,107
2017-07-08 11:37:01,104
2017-07-08 11:37:06,101
2017-07-08 11:37:11,99
2017-07-08 11:37:16,94
2017-07-08 11:37:21,91
2017-07-08 11:37:28,93
2017-07-08 11:37:38,98
2017-07-08 11:37:43,100
2017-07-08 11:37:48,96
2017-07-08 11:37:53,98
2017-07-08 11:37:58,104
2017-07-08 11:38:03,106
2017-07-08 11:38:08,105
2017-07-08 11:38:13,99
2017-07-08 11:38:18,103
2017-07-08 11:38:23,100
2017-07-08 11:38:28,99
2017-07-08 11:38:33,97
2017-07-08 11:38:38,95
2017-07-08 11:38:43,98
2017-07-08 11:38:48,103
2017-07-08 11:38:53,105
2017-07-08 11:38:58,102
2017-07-08 11:39:03,98
2017-07-08 11:39:08,101
2017-07-08 11:39:13,104
2017-07-08 11:39:18,105
2017-07-08 11:39:23,106
2017-07-08 11:39:33,108
2017-07-08 11:39:38,110
2017-07-08 11:39:43,109
2017-07-08 11:39:49,117
2017-07-08 11:39:54,118
2017-07-08 11:39:59,119
2017-07-08 11:40:04,121
2017-07-08 11:40:09,122
2017-07-08 11:40:14,120
2017-07-08 11:40:19,127
2017-07-08 11:40:24,124
2017-07-08 11:40:29,122
2017-07-08 11:40:34,121
2017-07-08 11:40:49,121
2017-07-08 11:40:54,116
2017-07-08 11:40:59,113
2017-07-08 11:41:14,113
2017-07-08 11:41:19,111
2017-07-08 11:41:24,114
2017-07-08 11:41:29,115
2017-07-08 11:41:34,112
2017-07-08 11:41:39,109
2017-07-08 11:41:44,85
2017-07-08 11:41:49,84
2017-07-08 11:41:59,88
2017-07-08 11:42:04,90
2017-07-08 11:42:09,90
2017-07-08 11:42:14,93
2017-07-08 11:42:21,95
2017-07-08 11:42:26,97
2017-07-08 11:42:31,102
2017-07-08 11:42:36,99
2017-07-08 11:42:41,96
2017-07-08 11:42:46,97
2017-07-08 11:42:56,102
2017-07-08 11:43:01,97
2017-07-08 11:43:06,101
2017-07-08 11:43:11,103
2017-07-08 11:43:16,104
2017-07-08 11:43:21,103
2017-07-08 11:43:31,108
2017-07-08 11:43:36,106
2017-07-08 11:43:41,102
2017-07-08 11:43:46,99
2017-07-08 11:43:51,93
2017-07-08 11:43:56,97
2017-07-08 11:44:01,99
2017-07-08 11:44:06,101
2017-07-08 11:44:11,104
2017-07-08 11:44:16,107
2017-07-08 11:44:31,107
2017-07-08 11:44:41,100
2017-07-08 11:44:46,98
2017-07-08 11:44:56,99
2017-07-08 11:45:01,101
2017-07-08 11:45:07,107
2017-07-08 11:45:12,115
2017-07-08 11:45:17,116
2017-07-08 11:45:22,117
2017-07-08 11:45:32,117
2017-07-08 11:45:37,110
2017-07-08 11:45:42,112
2017-07-08 11:45:47,116
2017-07-08 11:45:52,120
2017-07-08 11:45:57,117
2017-07-08 11:46:07,118
2017-07-08 11:46:12,112
2017-07-08 11:46:17,113
2017-07-08 11:46:22,115
2017-07-08 11:46:32,114
2017-07-08 11:46:37,113
2017-07-08 11:46:47,114
2017-07-08 11:46:52,116
2017-07-08 11:46:57,117
2017-07-08 11:47:02,120
2017-07-08 11:47:07,120
2017-07-08 11:47:12,118
2017-07-08 11:47:17,122
2017-07-08 11:47:22,127
2017-07-08 11:47:27,128
2017-07-08 11:47:37,125
2017-07-08 11:47:44,120
2017-07-08 11:47:49,118
2017-07-08 11:47:54,121
2017-07-08 11:47:59,126
2017-07-08 11:48:04,128
2017-07-08 11:48:09,129
2017-07-08 11:48:14,127
2017-07-08 11:48:24,128
2017-07-08 11:48:39,128
2017-07-08 11:48:49,126
2017-07-08 11:48:54,136
2017-07-08 11:49:04,137
2017-07-08 11:49:14,131
2017-07-08 11:49:19,128
2017-07-08 11:49:29,125
2017-07-08 11:49:34,123
2017-07-08 11:49:39,122
2017-07-08 11:49:44,119
2017-07-08 11:49:49,118
2017-07-08 11:49:54,117
2017-07-08 11:49:59,118
2017-07-08 11:50:04,117
2017-07-08 11:50:09,114
2017-07-08 11:50:19,112
2017-07-08 11:50:24,110
2017-07-08 11:50:34,116
2017-07-08 11:50:40,118
2017-07-08 11:50:45,115
2017-07-08 11:50:50,111
2017-07-08 11:50:55,110
2017-07-08 11:51:05,107
2017-07-08 11:51:10,106
2017-07-08 11:51:15,105
2017-07-08 11:51:20,106
2017-07-08 11:51:25,104
2017-07-08 11:51:30,105
2017-07-08 11:51:40,104
2017-07-08 11:51:45,96
2017-07-08 11:51:50,88
2017-07-08 11:51:55,90
2017-07-08 11:52:00,95
2017-07-08 11:52:05,90
2017-07-08 11:52:10,89
2017-07-08 11:52:15,92
2017-07-08 11:52:20,88
2017-07-08 11:52:35,89
2017-07-08 11:52:40,91
2017-07-08 11:52:50,92
2017-07-08 11:52:55,93
2017-07-08 11:53:05,95
2017-07-08 11:53:20,96
2017-07-08 11:53:25,97
2017-07-08 11:53:30,93
2017-07-08 11:53:37,92
2017-07-08 11:53:42,96
2017-07-08 11:53:47,98
2017-07-08 11:53:52,101
2017-07-08 11:53:57,102
2017-07-08 11:54:02,103
2017-07-08 11:54:07,104
2017-07-08 11:54:12,107
2017-07-08 11:54:17,108
2017-07-08 11:54:32,106
2017-07-08 11:54:37,104
2017-07-08 11:54:42,98
2017-07-08 11:54:47,95
2017-07-08 11:54:52,94
2017-07-08 11:54:57,95
2017-07-08 11:55:02,97
